ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
000027.SZ,20210331,11.22,6.5043,24.8206,0.92,31.3763,13.7442,1.9532,2.5641,2.7046,0.3714,0.3714,475738.9916,475738.9916,124668.8147,5337791.4858,5337791.4858
000027.SZ,20210330,12.13,9.3535,35.6933,1.44,33.9211,14.8589,2.1116,2.7721,2.9239,0.3435,0.3435,475738.9916,475738.9916,124668.8147,5770713.9681,5770713.9681
000027.SZ,20210329,12.12,7.6601,29.2313,1.28,33.8931,14.8466,2.1099,2.7698,2.9215,0.3438,0.3438,475738.9916,475738.9916,124668.8147,5765956.5782,5765956.5782
000027.SZ,20210326,11.02,5.7925,22.1042,1.03,30.817,13.4992,1.9184,2.5184,2.6564,0.3781,0.3781,475738.9916,475738.9916,124668.8147,5242643.6874,5242643.6874
000027.SZ,20210325,10.02,7.8516,29.9618,1.66,28.0206,12.2742,1.7443,2.2899,2.4153,0.4158,0.4158,475738.9916,475738.9916,124668.8147,4766904.6958,4766904.6958
000027.SZ,20210324,11.13,4.5492,17.36,0.96,31.1246,13.6339,1.9375,2.5436,2.6829,0.3744,0.3744,475738.9916,475738.9916,124668.8147,5294974.9765,5294974.9765
000027.SZ,20210323,10.12,6.5653,25.0532,1.4,28.3002,12.3967,1.7617,2.3128,2.4394,0.4117,0.4117,475738.9916,475738.9916,124668.8147,4814478.595,4814478.595
000027.SZ,20210322,9.2,5.2107,19.8842,1.1,25.7275,11.2697,1.6015,2.1025,2.2176,0.4529,0.4529,475738.9916,475738.9916,124668.8147,4376798.7227,4376798.7227
000027.SZ,20210319,8.36,3.9918,15.2329,0.76,23.3784,10.2407,1.4553,1.9105,2.0152,0.4984,0.4984,475738.9916,475738.9916,124668.8147,3977177.9698,3977177.9698
000027.SZ,20210318,8.35,3.2837,12.5307,0.55,23.3505,10.2285,1.4536,1.9083,2.0128,0.499,0.499,475738.9916,475738.9916,124668.8147,3972420.5799,3972420.5799
000027.SZ,20210317,8.44,4.5814,17.4827,0.81,23.6021,10.3387,1.4692,1.9288,2.0345,0.4937,0.4937,475738.9916,475738.9916,124668.8147,4015237.0891,4015237.0891
000027.SZ,20210316,9.21,6.3349,24.1741,1.1,25.7554,11.282,1.6033,2.1048,2.2201,0.4524,0.4524,475738.9916,475738.9916,124668.8147,4381556.1126,4381556.1126
000027.SZ,20210315,8.39,5.4746,20.8913,1.07,23.4623,10.2775,1.4605,1.9174,2.0224,0.4966,0.4966,475738.9916,475738.9916,124668.8147,3991450.1395,3991450.1395
000027.SZ,20210312,8.65,6.747,25.7468,1.53,24.1894,10.596,1.5058,1.9768,2.0851,0.4817,0.4817,475738.9916,475738.9916,124668.8147,4115142.2773,4115142.2773
000027.SZ,20210311,8.67,6.7191,25.6401,1.95,24.2453,10.6205,1.5093,1.9814,2.0899,0.4806,0.4806,475738.9916,475738.9916,124668.8147,4124657.0572,4124657.0572
000027.SZ,20210310,8.11,2.8809,10.9936,0.8,22.6793,9.9345,1.4118,1.8534,1.9549,0.5138,0.5138,475738.9916,475738.9916,124668.8147,3858243.2219,3858243.2219
000027.SZ,20210309,7.37,6.8851,26.2737,2.36,20.6099,9.028,1.283,1.6843,1.7765,0.5654,0.5654,475738.9916,475738.9916,124668.8147,3506196.3681,3506196.3681
000027.SZ,20210308,7.74,2.3561,8.9908,0.93,21.6446,9.4813,1.3474,1.7689,1.8657,0.5383,0.5383,475738.9916,475738.9916,124668.8147,3682219.795,3682219.795
000027.SZ,20210305,7.04,3.2265,12.3126,1.59,19.6871,8.6238,1.2255,1.6089,1.697,0.5919,0.5919,475738.9916,475738.9916,124668.8147,3349202.5009,3349202.5009
000027.SZ,20210304,6.4,1.8369,7.0098,1.04,17.8974,7.8398,1.1141,1.4626,1.5427,0.651,0.651,475738.9916,475738.9916,124668.8147,3044729.5462,3044729.5462
000027.SZ,20210303,6.59,3.7854,14.4452,3.37,18.4287,8.0726,1.1472,1.506,1.5885,0.6323,0.6323,475738.9916,475738.9916,124668.8147,3135119.9546,3135119.9546
000027.SZ,20210302,6.37,3.3944,12.9532,5.81,17.8135,7.8031,1.1089,1.4558,1.5355,0.6541,0.6541,475738.9916,475738.9916,124668.8147,3030457.3765,3030457.3765
000027.SZ,20210301,5.79,0.4763,1.8175,0.73,16.1915,7.0926,1.0079,1.3232,1.3957,0.7196,0.7196,475738.9916,475738.9916,124668.8147,2754528.7614,2754528.7614
